"Entidad","Nit Entidad","Departamento Entidad","Ciudad Entidad","OrdenEntidad","Entidad Centralizada","ID del Proceso","Referencia del Proceso","PCI","ID del Portafolio","Nombre del Procedimiento","Descripción del Procedimiento","Fase","Fecha de Publicacion del Proceso","Fecha de Ultima Publicación","Fecha de Publicacion (Fase Planeacion Precalificacion)","Fecha de Publicacion (Fase Seleccion Precalificacion)","Fecha de Publicacion (Manifestacion de Interes)","Fecha de Publicacion (Fase Borrador)","Fecha de Publicacion (Fase Seleccion)","Precio Base","Modalidad de Contratacion","Justificación Modalidad de Contratación","Duracion","Unidad de Duracion","Fecha de Recepcion de Respuestas","Fecha de Apertura de Respuesta","Fecha de Apertura Efectiva","Ciudad de la Unidad de Contratación","Nombre de la Unidad de Contratación","Proveedores Invitados","Proveedores con Invitacion Directa","Visualizaciones del Procedimiento","Proveedores que Manifestaron Interes","Respuestas al Procedimiento","Respuestas Externas","Conteo de Respuestas a Ofertas","Proveedores Unicos con Respuestas","Numero de Lotes","Estado del Procedimiento","ID Estado del Procedimiento","Adjudicado","ID Adjudicacion","CodigoProveedor","Departamento Proveedor","Ciudad Proveedor","Fecha Adjudicacion","Valor Total Adjudicacion","Nombre del Adjudicador","Nombre del Proveedor Adjudicado","NIT del Proveedor Adjudicado","Codigo Principal de Categoria","Estado de Apertura del Proceso","Tipo de Contrato","Subtipo de Contrato","Categorias Adicionales","URLProceso","Codigo Entidad","Estado Resumen"
"ALCALDÍA MUNICIPAL DE CANDELARIA VALLE","891380038","Valle del Cauca","Candelaria","Territorial","Centralizada","CO1.REQ.8830432","MDC-ST-CD-178-2025","701400236","CO1.BDOS.8673425","PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN PARA FORTALECER BUENAS CONDUCTAS Y COMPORTAMIENTOS SEGUROS EN LAS VÍAS; EN EL MARCO DEL PROYECTO TRANSFORMACIÓN DE LA MOVILIDAD CON SEGURIDAD VIAL; TRANSP","PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN PARA FORTALECER BUENAS CONDUCTAS Y COMPORTAMIENTOS SEGUROS EN LAS VÍAS, EN EL MARCO DEL PROYECTO TRANSFORMACIÓN DE LA MOVILIDAD CON SEGURIDAD VIAL, TRANSPORTE EFICIENTE Y DESARROLLO SOSTENIBLE EN EL MUNICIPIO DE CANDELARIA CON BPIN (2024761300034).","Presentación de oferta","09/02/2025","09/02/2025",,,,,"09/02/2025","$10.500.000","Contratación directa","Servicios profesionales y apoyo a la gestión","0","día(s)",,,,"Candelaria","SECRETARIA DE TRANSITO Y TRANSPORTE","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8708287","701.400.236","Presentación de oferta"
"UNIDAD DE SERVICIOS PENITENCIARIOS Y CARCELARIOS - USPEC1","900523392","Distrito Capital de Bogotá","Bogotá","Nacional","Descentralizada","CO1.REQ.8859418","USPEC-CTO-258-2025","700675051","CO1.BDOS.8701429","PRESTAR LOS SERVICIOS PROFESIONALES A LA UNIDAD DE SERVICIOS PENITENCIARIOS Y CARCELARIOS USPEC; PARA REALIZAR LA GESTION DE LOS PLANES; PROGRAMAS Y PROYECTOS A CARGO DE LA DIRECCION DE INFRAESTRUCT","PRESTAR LOS
SERVICIOS PROFESIONALES A LA UNIDAD DE SERVICIOS PENITENCIARIOS Y CARCELARIOS USPEC,
PARA REALIZAR LA GESTION DE LOS PLANES, PROGRAMAS Y PROYECTOS A CARGO DE LA DIRECCION
DE INFRAESTRUCTURA","Presentación de oferta","09/05/2025","09/05/2025",,,,,"09/05/2025","$38.666.667","Contratación directa","Servicios profesionales y apoyo a la gestión","3","Mes(es)",,,,"Bogotá","Unidad de Contratacion Direccion General","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80161500","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8729011","700.675.051","Presentación de oferta"
"PARQUES NACIONALES NATURALES DE COLOMBIA - DIRECCION TERRITORIAL ANDES NORORIENTALES","804001738","Santander","Bucaramanga","Territorial","Centralizada","CO1.REQ.1134462","DTAN-CD-089-2020","701236044","CO1.BDOS.1098247","Prestación de servicios profesionales y de apoyo a la gestión en los procesos de relacionamiento con comunidades locales y actores institucionales en el marco de las diferentes estrategias de manejo d","Prestación de servicios profesionales y de apoyo a la gestión en los procesos de relacionamiento con comunidades locales y actores institucionales en el marco de las diferentes estrategias de manejo del Parque Nacional Natural Serranía de los Yariguíes.","Fase de ofertas","02/07/2020","02/07/2020",,,,,"02/07/2020","$40.062.090","Contratación directa","Servicios profesionales y apoyo a la gestión","312","día(s)",,,,"No Aplica","PNN YARIGUIES","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.77101604","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1095805","701.236.044","Fase de ofertas"
"ENTIDAD DE GESTION ADMINISTRATIVA Y TECNICA","901036590","Distrito Capital de Bogotá","No Definido","Territorial","Centralizada","CO1.REQ.2996306","ISI-001-2022 (Presentación de oferta)","703470195","CO1.BDOS.2899315","DOTACIÓN CAPS CANDELARIA (Presentación de oferta)","NEGOCIACIÓN Y ADQUISICIÓN DE EQUIPOS BIOMÉDICOS, MOBILIARIO Y DEMÁS ELEMENTOS NECESARIOS PARA LA DOTACIÓN DEL CAPS CANDELARIA LA NUEVA DE LA SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.","Presentación de oferta","04/29/2022","04/29/2022",,,,,"04/29/2022","$3.403.373.221","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","4","Mes(es)","05/20/2022","07/05/2022","07/05/2022","Bogotá","PROCESOS MISIONALES","0","0","125","0","39","0","4","35","65","Seleccionado","70","Si","CO1.AWD.1339946","701491151","Distrito Capital de Bogotá","No Definido",,"$29.695.974","ERICA KATHERINE GALLO HERNANDEZ","IMCARE SAS","900068959","V1.78131600","Cerrado","Compraventa","No Definido","V124102000, V125172600, V141103000, V141103900, V141112400, V142141800, V142142100, V142151600, V142151700, V142152000, V142152300, V142181600, V142181900, V142182000, V142182100, V142182600, V142182800, V142191700, V142191900, V142192100, V142192200, V142201700, V142201800, V142251600, V142251700, V142281500, V142281700, V143221700, V149201500, V156101500, V156101700, V156112100, V156121800","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2922751","703.470.195","Presentación de oferta"
"Concejo Municipal de Bello","890980112","Antioquia","Bello","Territorial","Centralizada","CO1.REQ.4168905","012-2023","706106986","CO1.BDOS.4072189","PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN","PRESTACIÓN DE SERVICIO DE APOYO A LA GESTIÓN EN EL PROCESO DE GESTIÓN DOCUMENTAL Y ARCHIVO EN EL CONCEJO MUNICIPAL DE BELLO","Presentación de oferta","02/24/2023","02/24/2023",,,,,"02/24/2023","$13.600.000","Contratación directa","Servicios profesionales y apoyo a la gestión","8","Mes(es)",,,,"Bello","CONTRATACIÓN Y COMPRAS","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111501","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4073276","706.106.986","Presentación de oferta"
"DANE - DIRECCION TERRITORIAL NORTE","899999027","Atlántico","No Definido","Nacional","Centralizada","CO1.REQ.6602379","EDP-DTN-044-2024-1-TN","702860123","CO1.BDOS.6477055","540410523 CE_2024_DRA_BDC Prestación de servicios de apoyo a la gestión técnica y administrativa en la etapa de barrido del Censo Económico Nacional Urbano.","540410523 CE_2024_DRA_BDC Prestación de servicios de apoyo a la gestión técnica y administrativa en la etapa de barrido del Censo Económico Nacional Urbano.","Presentación de oferta","08/01/2024","08/01/2024",,,,,"08/01/2024","$11.500.000","Contratación directa","Servicios profesionales y apoyo a la gestión","150","día(s)",,,,"No Aplica","DANE - DIRECCION TERRITORIAL NORTE","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111500","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6485882","702.860.123","Presentación de oferta"
"COLEGIO CIUDAD DE MONTREAL IED","830062537","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.4015420","06022023","704193986","CO1.BDOS.3919439","ACTUALIZACION PROGRAMA  FINANCIERO 2023","ACTUALIZACIÓN PROGRAMA FINANCIERO FSE, DE TESORERÍA Y CONTABILIDAD 2023 CON SU RESPECTIVO ACOMPAÑAMIENTO DURANTE LA VIGENCIA 2023","Presentación de oferta","02/03/2023","02/03/2023",,,,,"02/03/2023","$820.000","Contratación régimen especial","Decreto 092 de 2017","5","día(s)",,,,"Bogotá","COLEGIO CIUDAD DE MONTREAL IED","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.43232110","Abierto","Decreto 092 de 2017","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3920724","704.193.986","Presentación de oferta"
"EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL.*","890981536","Antioquia","Yolombó","Territorial","Centralizada","CO1.REQ.5742860","MCCC_01","704115484","CO1.BDOS.5625588","ARRENDAMIENTO VEHICULO","ARRENDAMIENTO POR DIAS VEHICULO DE PLACAS BXF481 PARA TRANSPORTE DE PERSONAS, INSUMOS Y ELEMENTOS REQUERIDOS EN EL DESARROLLO DE LAS ACTIVIDADES DE LA ENTIDAD, PREVIA PROGRAMACION DE LA ESE DURANTE EL MES DE ENERO","Presentación de oferta","02/10/2024","02/10/2024",,,,,"02/10/2024","$1.537.480","Contratación régimen especial","Regla aplicable","30","día(s)",,,,"Yolombó","UNIDAD DE CONTRATACION HOSPITAL YOLOMBÒ","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.78111808","Abierto","Arrendamiento de muebles","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5633560","704.115.484","Presentación de oferta"
"MUNICIPIO SANTA ROSA DE OSOS","890981554","Antioquia","Santa Rosa De Osos","Territorial","Centralizada","CO1.REQ.9890110","CPSA DOJ 081 2026","704959766","CO1.BDOS.9722234","APOYO EN LA EJECUCIÓN DE LAS DIFERENTES ACTIVIDADES PROGRAMADAS DESDE LA CASA DE JUVENTUD; EN LA ZONA URBANA Y RURAL DEL MUNICIPIO DE SANTA ROSA DE OSOS.","APOYO EN LA EJECUCIÓN DE LAS DIFERENTES ACTIVIDADES PROGRAMADAS DESDE LA CASA DE JUVENTUD, EN LA ZONA URBANA Y RURAL DEL MUNICIPIO DE SANTA ROSA DE OSOS.","Presentación de oferta","01/23/2026","01/23/2026",,,,,"01/23/2026","$29.680.000","Contratación directa","Servicios profesionales y apoyo a la gestión","320","día(s)",,,,"Santa Rosa De Osos","Gestión Contractual","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.93151500","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9738786","704.959.766","Presentación de oferta"
"ASAMBLEA DEPARTAMENTAL DE CASANARE1","800228493","Casanare","Yopal","Territorial","Descentralizada","CO1.REQ.4763183","CD-ADC-22","712160035","CO1.BDOS.4658009","ANDRES FELIPE CASTILLO BARON","CONTRATAR LOS SERVICIOS DE APOYO A LA GESTION COMO AUXILIAR DE MANTENIMIENTO DE LA INFRAESTRUCTURA FISICA DE LA ASAMBLEA DEPARTAMENTAL DE CASANARE.","Presentación de oferta","06/28/2023","06/28/2023",,,,,"06/28/2023","$6.000.000","Contratación directa","Servicios profesionales y apoyo a la gestión","4","Mes(es)",,,,"No Aplica","CONTRATACION DIRECTA","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4664340","712.160.035","Presentación de oferta"
"ALCALDIA DE PASTO","891280000","Nariño","Pasto","Territorial","Descentralizada","CO1.REQ.9263598","IP-2025-145","700694094","CO1.BDOS.9098519","MINIMA IMPLEMENTOS DE GIMNASIO","El Contratista se compromete para con el Municipio de Pasto a suministrar máquinas para gimnasio, las cuales serán destinadas al uso de las personas privadas de la libertad recluidas en el Establecimiento Carcelario y Penitenciaría de Media Seguridad con Reclusión de Mujeres de Pasto. SGMBS046","Presentación de oferta","11/13/2025","11/13/2025",,,,,"11/13/2025","$92.400.000","Mínima cuantía","Presupuesto inferior al 10% de la menor cuantía","30","día(s)","11/20/2025","11/20/2025","11/20/2025","Pasto","Departamento Administrativo de Contratación Pública","0","0","15","0","5","0","0","5","0","Seleccionado","70","Si","CO1.AWD.2438731","703211391","Nariño","Pasto","12/02/2025","$82.076.690","ALY NATHALIE GOMEZ FIGUEROA","IMEDSUR SAS","900363690","V1.49201600","Cerrado","Suministros","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9124551","700.694.094","Adjudicado"
"FONDO UNICO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES","8001316486","Distrito Capital de Bogotá","Bogotá","Nacional","Centralizada","CO1.REQ.5496747","FTIC-PS-012-2024","700090079","CO1.BDOS.5378814","SEBASTIAN ORLANDO TRIANA DURAN","Prestar servicios profesionales al Ministerio/Fondo Único de TIC en la revisión y verificación de la información técnica en el trámite de la gestión de contratación para desarrollar los objetivos estratégicos y misionales de la entidad, en articulación con el Modelo Integrado de Gestión (MIG).","Presentación de oferta","01/04/2024","01/04/2024",,,,,"01/04/2024","$113.508.000","Contratación directa","Servicios profesionales y apoyo a la gestión","362","día(s)",,,,"Bogotá","UNIDAD DE CONTRATACION FONTIC","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5391230","700.090.079","Presentación de oferta"
"UNIVERSIDAD NACIONAL DE COLOMBIA","899999063","Distrito Capital de Bogotá","No Definido","Nacional","Centralizada","CO1.REQ.9882493","UNAL-BOG-2026-ING-412","700698038","CO1.BDOS.9714721","PRESTAR SERVICIOS PROFESIONALES EN GEOLOGIA PARA APOYAR A LOS COMPONENTES FÍSICO; QUÍMICO Y BIOLÓGICO DEL PROYECTO DE INVESTIGACION  EVALUACIÓN MULTIESCALA DE LA INTERACCIÓN DE LOS PROCESOS FÍSICOS","PRESTAR SERVICIOS PROFESIONALES EN GEOLOGIA PARA APOYAR A LOS COMPONENTES FÍSICO, QUÍMICO Y BIOLÓGICO DEL PROYECTO DE INVESTIGACION EVALUACIÓN MULTIESCALA DE LA INTERACCIÓN DE LOS PROCESOS FÍSICOS,
QUÍMICOS Y BIOLÓGICOS EN LA PROSPECTIVIDAD DE FUENTES NO CONVENCIONALES DE ENERGÍA DEL SUBSUELO- PROYECTO SHATKI.","Presentación de oferta","01/23/2026","01/23/2026",,,,,"01/23/2026","$21.000.000","Contratación régimen especial","Decreto 092 de 2017","211","día(s)",,,,"Bogotá","Bogotá Fac. Ingenieria","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.81151700","Abierto","Decreto 092 de 2017","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9730577","700.698.038","Presentación de oferta"
"SECRETARIA DE EDUCACION DE CALI","890399011","Valle del Cauca","Cali","Territorial","Centralizada","CO1.REQ.7188948","4143.010.32.1183-2024","702435959","CO1.BDOS.7054423","Prestación de servicios profesionales","Prestación de servicios profesionales a favor de la Secretaría de Educación del Distrito Especial de Santiago de Cali.","Presentación de oferta","11/19/2024","11/19/2024",,,,,"11/19/2024","$8.876.000","Contratación directa","Servicios profesionales y apoyo a la gestión","2","Mes(es)",,,,"Cali","Secreraría de Educación Cali","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111501","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7071485","702.435.959","Presentación de oferta"
"ALCALDIA MUNICIPIO DE RICAURTE","890680059","Cundinamarca","Ricaurte","Territorial","Centralizada","CO1.REQ.3469058","MC 043-2022","703235119","CO1.BDOS.3379112","SUMINISTRO DE BONOS DE PRESTACIÓN DE SERVICIOS PÚBLICO DE TRANSPORTE CON DESTINO A LAS PERSONAS QUE ASISTEN A LOS PROGRAMAS DE FORMACIÓN ARTÍSTICA; CULTURAL; DEPORTIVA Y A LOS DIFERENTES PROGRAMAS SOC","SUMINISTRO DE BONOS DE PRESTACIÓN DE SERVICIOS PÚBLICO DE TRANSPORTE CON DESTINO A LAS PERSONAS QUE ASISTEN A LOS PROGRAMAS DE FORMACIÓN ARTÍSTICA; CULTURAL; DEPORTIVA Y A LOS DIFERENTES PROGRAMAS SOCIALES A REALIZARSE EN EL MUNICIPIO DE RICAURTE; (IDA Y REGRESO) A TRAVÉS DE LA MODALIDAD DE BONOS CON LA FRECUENCIA DEL DESPACHO DE VEHÍCULOS Y RUTAS ASIGNADAS A LA EMPRESA TRANSPORTADORA","Presentación de oferta","10/10/2022","10/10/2022",,,,,"10/10/2022","$27.985.500","Mínima cuantía","Presupuesto inferior al 10% de la menor cuantía","2","Mes(es)","10/13/2022","10/13/2022",,"Ricaurte","SECRETARIA DE CONTRATACIÒN","0","0","2","0","0","0","0","0","0","Cancelado","100","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.78111803","Cerrado","Suministros","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3383399","703.235.119","Presentación de oferta"
"ALCALDIA MUNICIPIO DE RICAURTE","890680059","Cundinamarca","Ricaurte","Territorial","Centralizada","CO1.REQ.3469058","MC 043-2022","703235119","CO1.BDOS.3379112","SUMINISTRO DE BONOS DE PRESTACIÓN DE SERVICIOS PÚBLICO DE TRANSPORTE CON DESTINO A LAS PERSONAS QUE ASISTEN A LOS PROGRAMAS DE FORMACIÓN ARTÍSTICA; CULTURAL; DEPORTIVA Y A LOS DIFERENTES PROGRAMAS SOC","SUMINISTRO DE BONOS DE PRESTACIÓN DE SERVICIOS PÚBLICO DE TRANSPORTE CON DESTINO A LAS PERSONAS QUE ASISTEN A LOS PROGRAMAS DE FORMACIÓN ARTÍSTICA; CULTURAL; DEPORTIVA Y A LOS DIFERENTES PROGRAMAS SOCIALES A REALIZARSE EN EL MUNICIPIO DE RICAURTE; (IDA Y REGRESO) A TRAVÉS DE LA MODALIDAD DE BONOS CON LA FRECUENCIA DEL DESPACHO DE VEHÍCULOS Y RUTAS ASIGNADAS A LA EMPRESA TRANSPORTADORA","Presentación de oferta","10/10/2022","10/10/2022",,,,,"10/10/2022","$27.985.500","Mínima cuantía","Presupuesto inferior al 10% de la menor cuantía","2","Mes(es)","10/13/2022","10/13/2022",,"Ricaurte","SECRETARIA DE CONTRATACIÒN","0","0","2","0","0","0","0","0","0","Cancelado","100","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.78111803","Cerrado","Suministros","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3383399","703.235.119","Presentación de oferta"
"ALCALDIA MUNICIPIO DE RICAURTE","890680059","Cundinamarca","Ricaurte","Territorial","Centralizada","CO1.REQ.3469058","MC 043-2022","703235119","CO1.BDOS.3379112","SUMINISTRO DE BONOS DE PRESTACIÓN DE SERVICIOS PÚBLICO DE TRANSPORTE CON DESTINO A LAS PERSONAS QUE ASISTEN A LOS PROGRAMAS DE FORMACIÓN ARTÍSTICA; CULTURAL; DEPORTIVA Y A LOS DIFERENTES PROGRAMAS SOC","SUMINISTRO DE BONOS DE PRESTACIÓN DE SERVICIOS PÚBLICO DE TRANSPORTE CON DESTINO A LAS PERSONAS QUE ASISTEN A LOS PROGRAMAS DE FORMACIÓN ARTÍSTICA; CULTURAL; DEPORTIVA Y A LOS DIFERENTES PROGRAMAS SOCIALES A REALIZARSE EN EL MUNICIPIO DE RICAURTE; (IDA Y REGRESO) A TRAVÉS DE LA MODALIDAD DE BONOS CON LA FRECUENCIA DEL DESPACHO DE VEHÍCULOS Y RUTAS ASIGNADAS A LA EMPRESA TRANSPORTADORA","Presentación de oferta","10/10/2022","10/10/2022",,,,,"10/10/2022","$27.985.500","Mínima cuantía","Presupuesto inferior al 10% de la menor cuantía","2","Mes(es)","10/13/2022","10/13/2022",,"Ricaurte","SECRETARIA DE CONTRATACIÒN","0","0","2","0","0","0","0","0","0","Cancelado","100","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.78111803","Cerrado","Suministros","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3383399","703.235.119","Presentación de oferta"
"ALCALDIA MUNICIPIO DE RICAURTE","890680059","Cundinamarca","Ricaurte","Territorial","Centralizada","CO1.REQ.3469058","MC 043-2022","703235119","CO1.BDOS.3379112","SUMINISTRO DE BONOS DE PRESTACIÓN DE SERVICIOS PÚBLICO DE TRANSPORTE CON DESTINO A LAS PERSONAS QUE ASISTEN A LOS PROGRAMAS DE FORMACIÓN ARTÍSTICA; CULTURAL; DEPORTIVA Y A LOS DIFERENTES PROGRAMAS SOC","SUMINISTRO DE BONOS DE PRESTACIÓN DE SERVICIOS PÚBLICO DE TRANSPORTE CON DESTINO A LAS PERSONAS QUE ASISTEN A LOS PROGRAMAS DE FORMACIÓN ARTÍSTICA; CULTURAL; DEPORTIVA Y A LOS DIFERENTES PROGRAMAS SOCIALES A REALIZARSE EN EL MUNICIPIO DE RICAURTE; (IDA Y REGRESO) A TRAVÉS DE LA MODALIDAD DE BONOS CON LA FRECUENCIA DEL DESPACHO DE VEHÍCULOS Y RUTAS ASIGNADAS A LA EMPRESA TRANSPORTADORA","Presentación de oferta","10/10/2022","10/10/2022",,,,,"10/10/2022","$27.985.500","Mínima cuantía","Presupuesto inferior al 10% de la menor cuantía","2","Mes(es)","10/13/2022","10/13/2022",,"Ricaurte","SECRETARIA DE CONTRATACIÒN","0","0","2","0","0","0","0","0","0","Cancelado","100","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.78111803","Cerrado","Suministros","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3383399","703.235.119","Presentación de oferta"
"ALCALDÍA MUNICIPAL DE CANDELARIA VALLE","891380038","Valle del Cauca","Candelaria","Territorial","Centralizada","CO1.REQ.4340766","MDC-SDA-SIP-004-2023","701400236","CO1.BDOS.4241803","SUMINISTRO DE ELEMENTOS E IMPLEMENTOS ASEO Y CAFETERÍA A MONTO AGOTABLE PARA LA ADMINISTRACIÓN MUNICIPAL DE CANDELARIA","SUMINISTRO DE ELEMENTOS E IMPLEMENTOS ASEO Y CAFETERÍA A MONTO AGOTABLE PARA LA ADMINISTRACIÓN MUNICIPAL DE CANDELARIA","Presentación de oferta","04/03/2023","04/03/2023",,,,,"04/03/2023","$0","Solicitud de información a los Proveedores","No","6","día(s)","04/04/2023",,"04/03/2023","Candelaria","SECRETARÍA DE DESARROLLO ADMINISTRATIVO -DADI","1.570","0","14","0","0","0","0","0","0","Evaluación","60","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.47132100","Abierto","No","No Definido","V147131600, V147131700, V150201700, V180141700","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4255139","701.400.236","Presentación de oferta"
"ESE HOSPITAL EDUARDO SANTOS","891200952","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.7311900","CPSP-2024-1461","704126028","CO1.BDOS.7175576","DIANA MILENA ORDOÑEZ DE LA CRUZ","Prestar los servicios profesionales como médico especialista en Pediatría, en favor del HOSPITAL EDUARDO SANTOS E.S.E.","Presentación de oferta","12/12/2024","12/12/2024",,,,,"12/12/2024","$12.840.000","Contratación régimen especial","Decreto 092 de 2017","1","Mes(es)",,,,"La Unión","GESTION CONTRACTUAL SERVICIOS","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.85121613","Abierto","Decreto 092 de 2017","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7196295","704.126.028","Presentación de oferta"
"EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL DE FACATATIVA","899999151","Cundinamarca","Facatativá","Territorial","Centralizada","CO1.REQ.10112049","544-2026","703019919","CO1.BDOS.9944902","JOHN HENRY OROZCO RODRÍGUEZ","PRESTAR LOS SERVICIOS COMO MEDICO GENERAL EN LOS CENTROS Y/O PUESTOS DE SALUD ADSCRITOS A LA E.S.E. HOSPITAL SAN RAFAEL DE FACATATIVA.","Presentación de oferta","02/03/2026","02/03/2026",,,,,"02/03/2026","$12.000.000","Contratación régimen especial","Regla aplicable","0","día(s)",,,,"Facatativá","OFICINA JURÍDICA","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.85121600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9967618","703.019.919","Presentación de oferta"
